L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,L_Ref_Ang,R_Ref_Ang,L_Ref_Vel,R_Ref_Vel,Peak,Time
-6.616617074845493,-24.73334859235524,16.44312199588012,14.123750667582158,0.518624766513303,-0.04840680009557872,-0.003581779762158119,-0.026601786055047833,-12.965708707326629,1.2095049577380916,5.42589693248368,23.89346694946289
-6.402380407415876,-24.73334859235524,19.739070725566535,19.00663767452511,0.4019385113546089,-0.4052113649970074,-0.008763474104990615,0.014918563672855246,-10.048681870717846,10.130657089017005,5.42589693248368,23.90307354927063
-6.402380407415876,-24.73334859235524,23.03501945525295,23.91393911650266,0.28081638963187594,-0.7363168699209576,-0.014529758008884994,0.050260763999528335,-7.020772984747121,18.409178267123927,5.42589693248368,23.913162231445312
-6.402380407415876,-22.0032043945983,26.35538261997408,30.67673762111849,0.15649976497822887,-1.0491415001394842,-0.021474443037758625,0.07970069960313804,-3.9130309855316656,26.230530020977184,5.42589693248368,23.923070669174194
-6.402380407415876,-22.0032043945983,25.037003128099514,37.463950560769035,0.04361366483700591,-1.350121509811759,-0.02801778153498563,0.10366915861396962,-1.0910420654635224,33.75562947425932,5.42589693248368,23.93328046798706
-6.35294117647058,-22.0032043945983,23.645380331120805,44.49530785076672,-0.04512821387097601,-1.6401152436845141,-0.03264445335847442,0.1214195940259718,1.1273892354404385,41.00591658196349,5.42589693248368,23.94340443611145
-6.204623483634691,-22.0032043945983,20.98420691233696,50.57450217441067,-0.10883936182988826,-1.9170636703995232,-0.035496030011362666,0.1333106904236161,2.720096644996923,47.929924527248666,5.42589693248368,23.95307993888855
-6.204623483634691,-20.327763790341038,18.323033493553112,56.092164492256074,-0.14711509116119725,-2.1769244709035425,-0.03764344882960674,0.14255562628087728,3.6769361928091913,54.42667566324559,5.42589693248368,23.962980270385742
-6.204623483634691,-18.333714808880757,15.661860074769152,61.53658350499734,-0.16345656801665512,-2.4189053936233984,-0.039832720945140565,0.1520475560235654,4.085418382392749,60.47643602948554,5.42589693248368,23.973592281341553
-6.204623483634691,-17.130693522545215,13.000686655985305,67.12748912794689,-0.16097499190180914,-2.644498770494189,-0.042915890990856,0.16101584718474107,4.023301900270456,66.11649465853435,5.42589693248368,23.98297619819641
-5.616845960173947,-17.130693522545215,12.878614480811734,72.71839475089644,-0.14984479939480444,-2.8552852737052934,-0.047074431627330715,0.16673565205184543,3.7449431240794273,71.38630023393364,5.42589693248368,23.99323058128357
